Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.21     36.17     0.13      192     0.00     0.00  connect_infinite_loops_to_exit
  0.21     36.30     0.13 32066475     0.00     0.00  df_ref_equal_p
  0.21     36.43     0.13 10870043     0.00     0.00  df_live_confluence_n
  0.21     36.56     0.13 10140172     0.00     0.00  ix86_decompose_address
  0.21     36.69     0.13  6043463     0.00     0.00  fold_comparison
  0.21     36.82     0.13  2661207     0.00     0.00  df_uses_record
  0.21     36.95     0.13  1613940     0.00     0.00  df_simulate_initialize_backwards
  0.21     37.08     0.13  1077324     0.00     0.00  df_simulate_one_insn_backwards
  0.21     37.21     0.13   370711     0.00     0.00  df_reorganize_refs_by_insn_bb
  0.21     37.34     0.13       38     0.00     0.01  copyprop_hardreg_forward
  0.19     37.46     0.12  3748502     0.00     0.00  rtx_cost
  0.19     37.58     0.12  3180225     0.00     0.00  mark_block_for_update
  0.19     37.70     0.12   488389     0.00     0.00  thread_across_edge
  0.19     37.82     0.12      509     0.00     0.00  mark_dfs_back_edges
  0.19     37.94     0.12      346     0.00     0.00  substitute_and_fold
  0.19     38.06     0.12      114     0.00     0.00  split_all_insns
  0.19     38.18     0.12       38     0.00     0.00  df_reorganize_refs_by_reg
  0.19     38.30     0.12       38     0.00     0.03  gimple_expand_cfg
  0.18     38.41     0.11 31736356     0.00     0.00  bb_note
  0.18     38.52     0.11 23214123     0.00     0.00  df_ref_record
  0.18     38.63     0.11 10096244     0.00     0.00  df_install_ref
  0.18     38.74     0.11  3777721     0.00     0.00  gimple_call_flags
  0.18     38.85     0.11  1111678     0.00     0.00  free_deps
  0.18     38.96     0.11   872746     0.00     0.00  sched_scan
  0.18     39.07     0.11   292519     0.00     0.00  mark_control_dependent_edges_necessary
  0.18     39.18     0.11     2744     0.00     0.00  assign_dfs_numbers
  0.18     39.29     0.11      114     0.00     0.03  if_convert
  0.18     39.40     0.11       96     0.00     0.00  prepare_block_for_update
  0.18     39.51     0.11       38     0.00     0.04  reload
  0.17     39.61     0.11  8712368     0.00     0.00  cselib_lookup
  0.16     39.71     0.10  5538627     0.00     0.00  et_new_tree
  0.16     39.81     0.10 91496621     0.00     0.00  is_gimple_min_invariant
  0.16     39.91     0.10 29946447     0.00     0.00  operand_equal_p
  0.16     40.01     0.10  5974576     0.00     0.00  htab_find
  0.16     40.11     0.10  5544173     0.00     0.00  et_set_father
  0.16     40.21     0.10  3587320     0.00     0.00  insn_nothrow_p
  0.16     40.31     0.10  3016689     0.00     0.00  refers_to_regno_p
  0.16     40.41     0.10  2359941     0.00     0.00  internal_state_transition
  0.16     40.51     0.10  1446916     0.00     0.00  invalidate
  0.16     40.61     0.10  1242099     0.00     0.00  compute_av_set_inside_bb
  0.16     40.71     0.10   646257     0.00     0.00  try_combine
  0.16     40.81     0.10   370635     0.00     0.00  single_def_use_enter_block
  0.16     40.91     0.10   327408     0.00     0.00  df_ref_change_reg_with_loc_1
  0.16     41.01     0.10    90266     0.00     0.00  insert_updated_phi_nodes_for
  0.16     41.11     0.10     1075     0.00     0.00  delete_unreachable_blocks
  0.16     41.21     0.10      306     0.00     0.00  pre_and_rev_post_order_compute
  0.15     41.31     0.10  5306692     0.00     0.00  volatile_refs_p
  0.15     41.40     0.10  4672239     0.00     0.00  gimple_purge_dead_eh_edges
  0.14     41.49     0.09 18862596     0.00     0.00  cselib_invalidate_regno
  0.14     41.58     0.09  8350859     0.00     0.00  get_immediate_dominator
  0.14     41.67     0.09  5730394     0.00     0.00  df_live_transfer_function
  0.14     41.76     0.09  3635909     0.00     0.00  cselib_hash_rtx
  0.14     41.85     0.09  1810649     0.00     0.00  bitmap_equal_p
  0.14     41.94     0.09   401184     0.00     0.00  fill_insns
  0.14     42.03     0.09   269460     0.00     0.00  remove_from_deps
  0.14     42.12     0.09     1784     0.00     0.00  graphds_dfs
  0.14     42.21     0.09       76     0.00     0.00  df_scan_free_internal
  0.14     42.30     0.09       38     0.00     0.01  df_chain_finalize
  0.14     42.39     0.09       38     0.00     0.01  final
  0.13     42.47     0.08  9067998     0.00     0.00  ix86_legitimate_address_p
  0.13     42.55     0.08  7520004     0.00     0.00  asm_noperands
  0.13     42.63     0.08  7342978     0.00     0.00  for_each_rtx_1
  0.13     42.71     0.08  4932857     0.00     0.00  df_simulate_uses
  0.13     42.79     0.08  4594108     0.00     0.00  cselib_process_insn
  0.13     42.87     0.08  2029621     0.00     0.00  reg_scan_mark_refs
  0.13     42.95     0.08  1660991     0.00     0.00  make_compound_operation
  0.13     43.03     0.08   985619     0.00     0.00  final_scan_insn
  0.13     43.11     0.08   928804     0.00     0.00  ht_lookup_with_hash
  0.13     43.19     0.08   826749     0.00     0.00  df_chain_create_bb_process_use
  0.13     43.27     0.08   301379     0.00     0.00  dom_opt_enter_block
  0.13     43.35     0.08   155692     0.00     0.00  add_copies
  0.13     43.43     0.08     1557     0.00     0.00  update_ssa
  0.13     43.51     0.08       78     0.00     0.00  propagate_freq
  0.13     43.59     0.08       76     0.00     0.01  df_md_local_compute
  0.13     43.67     0.08       76     0.00     0.00  run_scc_vn
  0.13     43.75     0.08       38     0.00     0.02  rest_of_handle_ud_dce
  0.12     43.83     0.08  3532838     0.00     0.00  canon_reg
  0.11     43.90     0.07  6168229     0.00     0.00  prologue_epilogue_contains
  0.11     43.97     0.07  6112249     0.00     0.00  stmt_ends_bb_p
  0.11     44.04     0.07  3324850     0.00     0.00  pointer_map_contains
  0.11     44.11     0.07  1765002     0.00     0.00  try_split
  0.11     44.18     0.07       38     0.00     0.01  ix86_reorg
  0.11     44.25     0.07 25210681     0.00     0.00  alloc_INSN_LIST
  0.11     44.32     0.07 14568518     0.00     0.00  general_operand
  0.11     44.39     0.07 10116591     0.00     0.00  df_lr_confluence_n
  0.11     44.46     0.07  5820228     0.00     0.00  first_dom_son
  0.11     44.53     0.07  5463589     0.00     0.00  next_dom_son
  0.11     44.60     0.07  4932929     0.00     0.00  df_simulate_defs
  0.11     44.67     0.07  4322894     0.00     0.00  optimize_bb_for_speed_p
  0.11     44.74     0.07  2969846     0.00     0.00  copy_rtx_if_shared_1
  0.11     44.81     0.07  2945424     0.00     0.00  add_control_edge
  0.11     44.88     0.07  2347989     0.00     0.00  recog_32
  0.11     44.95     0.07  2234362     0.00     0.00  simplify_const_relational_operation
  0.11     45.02     0.07  2044677     0.00     0.00  mark_operand_necessary
  0.11     45.09     0.07  1934025     0.00     0.00  combine_simplify_rtx
  0.11     45.16     0.07   980436     0.00     0.00  df_rd_bb_local_compute_process_def
  0.11     45.23     0.07   552971     0.00     0.00  flush_pending_lists
  0.11     45.30     0.07   107433     0.00     0.00  push_allocno_to_stack
  0.11     45.37     0.07      629     0.00     0.00  df_compact_blocks
  0.11     45.44     0.07      609     0.00     0.00  walk_dominator_tree
  0.11     45.51     0.07      228     0.00     0.00  delete_dead_jumptables
  0.11     45.58     0.07       76     0.00     0.00  finish_spills
  0.10     45.64     0.07 21411040     0.00     0.00  df_get_bb_dirty
  0.10     45.71     0.07  3659370     0.00     0.00  forwarder_block_p
  0.10     45.77     0.06  2437221     0.00     0.00  df_refs_verify
  0.10     45.83     0.06 64429281     0.00     0.00  tree_int_cst_lt
  0.10     45.89     0.06 42834982     0.00     0.00  tree_int_cst_compare
  0.10     45.95     0.06 31720156     0.00     0.00  next_nonnote_insn
  0.10     46.01     0.06 21523278     0.00     0.00  vrp_meet
  0.10     46.07     0.06 16037011     0.00     0.00  rtx_equal_p
  0.10     46.13     0.06  7276487     0.00     0.00  nonzero_bits1
  0.10     46.19     0.06  6215702     0.00     0.00  noop_move_p
  0.10     46.25     0.06   896766     0.00     0.00  walk_aliased_vdefs_1
  0.10     46.31     0.06   662925     0.00     0.00  bitmap_ior_and_into
  0.10     46.37     0.06   599120     0.00     0.00  has_dependence_p
  0.10     46.43     0.06   524953     0.00     0.00  df_bb_refs_record
  0.10     46.49     0.06   448115     0.00     0.00  can_combine_p
  0.10     46.55     0.06   187028     0.00     0.00  sched_free_deps
  0.10     46.61     0.06    88582     0.00     0.00  insert_phi_nodes_for
  0.10     46.67     0.06      154     0.00     0.01  execute_copy_prop
  0.10     46.73     0.06      116     0.00     0.01  do_ssa_ccp
  0.10     46.79     0.06      114     0.00     0.00  cfg_layout_finalize
  0.10     46.85     0.06       40     0.00     0.01  tree_estimate_probability
  0.10     46.91     0.06       39     0.00     0.00  optimize_inline_calls
  0.09     46.96     0.06 53886338     0.00     0.00  pool_free
  0.09     47.02     0.06  7460705     0.00     0.00  control_flow_insn_p
  0.09     47.07     0.06  3024485     0.00     0.00  insn_default_latency
  0.08     47.12     0.05 59499388     0.00     0.00  df_ref_compare
  0.08     47.17     0.05 48092011     0.00     0.00  tree_strip_nop_conversions
  0.08     47.22     0.05 45443652     0.00     0.00  tree_ssa_strip_useless_type_conversions
  0.08     47.27     0.05 44715761     0.00     0.00  compare_values_warnv
  0.08     47.32     0.05 27384238     0.00     0.00  integer_zerop
  0.08     47.37     0.05 12086766     0.00     0.00  maybe_canonicalize_comparison_1
