Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.25     0.00    26945     0.00     0.00  PerlIOBuf_get_ptr
  0.00      0.25     0.00    26945     0.00     0.00  PerlIOBuf_set_ptrcnt
  0.00      0.25     0.00    26945     0.00     0.00  Perl_PerlIO_get_ptr
  0.00      0.25     0.00    26945     0.00     0.00  Perl_PerlIO_set_ptrcnt
  0.00      0.25     0.00    26909     0.00     0.00  PerlIO_fast_gets
  0.00      0.25     0.00    26871     0.00     0.00  Perl_sv_gets
  0.00      0.25     0.00    26839     0.00     0.00  Perl_pp_add
  0.00      0.25     0.00    26817     0.00     0.00  Perl_block_gimme
  0.00      0.25     0.00    26817     0.00     0.00  S_dopoptosub_at
  0.00      0.25     0.00    26787     0.00     0.00  S_SvREFCNT_dec_NN
  0.00      0.25     0.00    26739     0.00     0.00  S_expect_number
  0.00      0.25     0.00    26731     0.00     0.00  Perl_sv_vcatpvfn_flags
  0.00      0.25     0.00    26731     0.00     0.00  Perl_sv_vsetpvfn
  0.00      0.25     0.00    26729     0.00     0.00  S_SvREFCNT_dec
  0.00      0.25     0.00    26726     0.00     0.00  Perl_do_readline
  0.00      0.25     0.00    26726     0.00     0.00  Perl_do_sprintf
  0.00      0.25     0.00    26726     0.00     0.00  Perl_pp_defined
  0.00      0.25     0.00    26726     0.00     0.00  Perl_pp_readline
  0.00      0.25     0.00    26725     0.00     0.00  Perl_pp_reverse
  0.00      0.25     0.00    26725     0.00     0.00  Perl_pp_schop
  0.00      0.25     0.00    26725     0.00     0.00  Perl_pp_sprintf
  0.00      0.25     0.00    26725     0.00     0.00  S_SvREFCNT_dec
  0.00      0.25     0.00    26427     0.00     0.00  Perl_unshare_hek
  0.00      0.25     0.00    26427     0.00     0.00  S_unshare_hek_or_pvn
  0.00      0.25     0.00    26417     0.00     0.00  Perl_hv_iternext_flags
  0.00      0.25     0.00    26416     0.00     0.00  Perl_newSVhek
  0.00      0.25     0.00    26411     0.00     0.00  Perl_av_clear
  0.00      0.25     0.00    26407     0.00     0.00  Perl_hv_iterkeysv
  0.00      0.25     0.00    26406     0.00     0.00  Perl_sv_unref_flags
  0.00      0.25     0.00    26324     0.00     0.00  Perl_pp_leaveloop
  0.00      0.25     0.00    26321     0.00     0.00  Perl_gp_ref
  0.00      0.25     0.00    26321     0.00     0.00  Perl_pp_enteriter
  0.00      0.25     0.00    26321     0.00     0.00  Perl_save_aliased_sv
  0.00      0.25     0.00    26321     0.00     0.00  S_SvREFCNT_dec
  0.00      0.25     0.00    26320     0.00     0.00  Perl_pp_rv2sv
  0.00      0.25     0.00     2240     0.00     0.00  S_SvREFCNT_dec
  0.00      0.25     0.00     2240     0.00     0.00  S_SvREFCNT_inc
  0.00      0.25     0.00     1328     0.00     0.00  Perl_more_bodies
