Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.06    138.74     0.08  2649562     0.00     0.00  S_perl_hash_one_at_a_time_hard
  0.06    138.82     0.08  1544851     0.00     0.00  Perl_pp_substcont
  0.06    138.90     0.08    19518     0.00     0.00  Perl_pp_sort
  0.05    138.97     0.07    30709     0.00     0.00  Perl_pp_print
  0.05    139.04     0.07 269838807     0.00     0.00  S_SvREFCNT_dec
  0.05    139.11     0.07 21574994     0.00     0.00  Perl_pp_not
  0.05    139.18     0.07 13863020     0.00     0.00  S_regrepeat
  0.05    139.25     0.07  8166627     0.00     0.00  Perl_sv_catpvn_flags
  0.04    139.31     0.06 45554427     0.00     0.00  S_leave_common
  0.04    139.37     0.06 20605459     0.00     0.00  Perl_pp_i_add
  0.04    139.43     0.06  7026593     0.00     0.00  Perl_sv_mortalcopy_flags
  0.04    139.49     0.06  1407083     0.00     0.00  Perl_pp_push
  0.04    139.55     0.06   775952     0.00     0.00  S_share_hek_flags
  0.04    139.61     0.06   718982     0.00     0.00  Perl_pp_method_named
  0.04    139.67     0.06   633467     0.00     0.00  Perl_hv_common_key_len
  0.04    139.72     0.06                             Perl_save_destructor
  0.04    139.77     0.05    50081     0.00     0.00  S_SvREFCNT_dec_NN
  0.04    139.82     0.05      102     0.00     0.00  S_negate_string
  0.04    139.87     0.05                             S_setup_eval_state
  0.04    139.92     0.05 27938705     0.00     0.00  S_reginclass
  0.04    139.97     0.05 27634560     0.00     0.00  Perl_save_clearsv
  0.04    140.02     0.05  3453601     0.00     0.00  Perl_pp_padrange
  0.04    140.07     0.05   598560     0.00     0.00  Perl_pp_split
  0.04    140.12     0.05   137401     0.00     0.00  Perl_re_op_compile
  0.04    140.17     0.05    12034     0.00     0.00  shafinish
  0.03    140.21     0.04 51213261     0.00     0.00  Perl_save_strlen
  0.03    140.25     0.04  8734134     0.00     0.00  Perl_sv_grow
  0.03    140.29     0.04  3306848     0.00     0.00  Perl_av_store
  0.03    140.33     0.04  1016752     0.00     0.00  S_regcppush
  0.03    140.37     0.04   655371     0.00     0.00  Perl_pp_substr
  0.03    140.41     0.04   451981     0.00     0.00  Perl_pp_return
  0.03    140.45     0.04   219397     0.00     0.00  Perl_do_join
  0.03    140.49     0.04                             Perl_ck_warner
  0.02    140.53     0.04                             Perl_cxinc
  0.02    140.56     0.03  2847500     0.00     0.00  S_SvREFCNT_inc
  0.02    140.59     0.03    67362     0.00     0.00  Perl_pp_stringify
  0.02    140.62     0.03    65964     0.00     0.00  Perl_pp_scmp
  0.02    140.65     0.03 50618242     0.00     0.00  S_ReANY
  0.02    140.68     0.03  2244418     0.00     0.00  S_setup_EXACTISH_ST_c1_c2
  0.02    140.71     0.03  1806388     0.00     0.00  Perl_reg_numbered_buff_fetch
  0.02    140.74     0.03  1664714     0.00     0.00  Perl_sv_tainted
  0.02    140.77     0.03  1544851     0.00     0.00  S_rxres_restore
  0.02    140.80     0.03  1535765     0.00     0.00  S_SvREFCNT_dec
  0.02    140.83     0.03   517918     0.00     0.00  Perl_magic_methcall
  0.02    140.86     0.03   390026     0.00     0.00  Perl_do_sprintf
  0.02    140.89     0.03   386166     0.00     0.00  S_regatom
  0.02    140.92     0.03    19625     0.00     0.00  S_pack_rec
  0.02    140.94     0.03 36138520     0.00     0.00  S_SvPADSTALE_on
  0.02    140.97     0.03   722646     0.00     0.00  S_hv_free_ent_ret
  0.02    140.99     0.03    29768     0.00     0.00  Perl_do_kv
  0.01    141.01     0.02 39965427     0.00     0.00  Perl_pp_i_le
  0.01    141.03     0.02 35818020     0.00     0.00  S_SvREFCNT_dec_NN
  0.01    141.05     0.02 22506844     0.00     0.00  Perl_sv_2mortal
  0.01    141.07     0.02 21599391     0.00     0.00  Perl_save_pushptrptr
  0.01    141.09     0.02 12667207     0.00     0.00  Perl_pp_pushmark
  0.01    141.11     0.02  6569398     0.00     0.00  Perl_sv_setpvn
  0.01    141.13     0.02  6419489     0.00     0.00  S_mg_findext_flags
  0.01    141.15     0.02  4485691     0.00     0.00  Perl_pp_defined
  0.01    141.17     0.02  2243642     0.00     0.00  Perl_pp_shift
  0.01    141.19     0.02   938500     0.00     0.00  Perl_sv_2pv_flags
  0.01    141.21     0.02   705013     0.00     0.00  Perl_hfree_next_entry
  0.01    141.23     0.02   594285     0.00     0.00  Perl_pp_add
  0.01    141.25     0.02   591405     0.00     0.00  S_next_symbol
  0.01    141.27     0.02   572246     0.00     0.00  Perl_pp_lc
  0.01    141.29     0.02   543034     0.00     0.00  Perl_pp_rand
  0.01    141.31     0.02   520098     0.00     0.00  Perl_pp_last
  0.01    141.33     0.02   496521     0.00     0.00  S_dopoptolabel
  0.01    141.35     0.02   440414     0.00     0.00  Perl_isinfnansv
  0.01    141.37     0.02   435580     0.00     0.00  Perl_pp_mapwhile
  0.01    141.39     0.02   318179     0.00     0.00  S_parse_gv_stash_name
  0.01    141.41     0.02   266261     0.00     0.00  S_unpack_rec
  0.01    141.43     0.02   219397     0.00     0.00  Perl_pp_join
  0.01    141.45     0.02   186710     0.00     0.00  Perl_pp_ucfirst
  0.01    141.47     0.02    28213     0.00     0.00  Perl_magic_setsig
  0.01    141.49     0.02        1     0.02     0.02  Perl_do_readline
  0.01    141.51     0.02                             Perl_sv_2pvutf8
  0.01    141.53     0.02                             Perl_sv_setsv_mg
  0.01    141.55     0.02                             S_MgBYTEPOS
  0.01    141.57     0.02    29921     0.00     0.00  Perl_hv_iterinit
  0.01    141.58     0.02 20846600     0.00     0.00  Perl_hv_iterkeysv
  0.01    141.60     0.02   557073     0.00     0.00  S_SvREFCNT_dec
  0.01    141.61     0.01 27634560     0.00     0.00  S_SvPADSTALE_off
  0.01    141.62     0.01 20957328     0.00     0.00  Perl_save_vptr
  0.01    141.63     0.01  8172983     0.00     0.00  Perl_safesysmalloc
  0.01    141.64     0.01  5700718     0.00     0.00  Perl_mg_find
  0.01    141.65     0.01  4763700     0.00     0.00  Perl_newSV
  0.01    141.66     0.01  3561264     0.00     0.00  Perl_sv_newmortal
  0.01    141.67     0.01  2823446     0.00     0.00  S_SvREFCNT_dec
  0.01    141.68     0.01  2341595     0.00     0.00  Perl_mg_get
  0.01    141.69     0.01  2238779     0.00     0.00  Perl_av_shift
  0.01    141.70     0.01  1818105     0.00     0.00  Perl_magic_get
  0.01    141.71     0.01  1730408     0.00     0.00  Perl_sv_catsv_flags
