Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     20.53     0.00      427     0.00     0.00  lzma2_header_uncompressed
  0.00     20.53     0.00      427     0.00     0.00  lzma_lzma_encoder_reset
  0.00     20.53     0.00      397     0.00     0.00  lzma_mf_bt4_skip
  0.00     20.53     0.00      396     0.00     0.00  mf_skip
  0.00     20.53     0.00      294     0.00     0.00  lzma_decoder_uncompressed
  0.00     20.53     0.00      240     0.00     0.00  lzma2_header_lzma
  0.00     20.53     0.00      128     0.00     0.00  hex_char_to_num
  0.00     20.53     0.00       40     0.00     0.00  lzma_free
  0.00     20.53     0.00       31     0.00     0.00  lzma_alloc
  0.00     20.53     0.00       27     0.00     0.00  store64
  0.00     20.53     0.00       25     0.00     0.00  lzma_vli_size
  0.00     20.53     0.00       23     0.00     0.00  lzma_next_end
  0.00     20.53     0.00       17     0.00     0.00  literal_init
  0.00     20.53     0.00       17     0.00     0.00  lzma_decoder_reset
  0.00     20.53     0.00       14     0.00     0.00  move_window
  0.00     20.53     0.00       12     0.00     0.00  lzma_crc32
  0.00     20.53     0.00       10     0.00     0.00  lzma_check_size
  0.00     20.53     0.00       10     0.00     0.00  lzma_vli_decode
  0.00     20.53     0.00       10     0.00     0.00  vli_ceil4
  0.00     20.53     0.00        8     0.00     0.00  index_size_unpadded
  0.00     20.53     0.00        8     0.00     0.00  vli_ceil4
  0.00     20.53     0.00        7     0.00     0.00  lzma_check_finish
  0.00     20.53     0.00        7     0.00     0.00  lzma_check_init
  0.00     20.53     0.00        6     0.00     0.00  debug_time
  0.00     20.53     0.00        6     0.00     0.00  decoder_find
  0.00     20.53     0.00        6     0.00     0.00  index_size
  0.00     20.53     0.00        6     0.00     0.00  lzma_block_unpadded_size
  0.00     20.53     0.00        6     0.00     0.00  lzma_next_filter_init
  0.00     20.53     0.00        6     0.00     0.00  unaligned_read32le
  0.00     20.53     0.00        5     0.00     0.00  index_size_unpadded
  0.00     20.53     0.00        5     0.00     0.00  lzma_check_is_supported
  0.00     20.53     0.00        5     0.00     0.00  lzma_vli_encode
  0.00     20.53     0.00        5     0.00     0.00  validate_chain
  0.00     20.53     0.00        4     0.00     0.00  encoder_find
  0.00     20.53     0.00        4     0.00     0.00  hash_append
  0.00     20.53     0.00        4     0.00     0.00  index_size
  0.00     20.53     0.00        4     0.00     0.00  is_size_valid
  0.00     20.53     0.00        4     0.00     0.00  lz_decoder_reset
  0.00     20.53     0.00        4     0.00     0.00  lzma_sha256_finish
  0.00     20.53     0.00        4     0.00     0.00  lzma_sha256_init
  0.00     20.53     0.00        4     0.00     0.00  lzma_sha256_update
  0.00     20.53     0.00        4     0.00     0.00  process
  0.00     20.53     0.00        4     0.00     0.00  stream_flags_decode
  0.00     20.53     0.00        4     0.00     0.00  transform
  0.00     20.53     0.00        3     0.00     0.00  lzma_end
  0.00     20.53     0.00        3     0.00     0.00  lzma_raw_coder_init
  0.00     20.53     0.00        3     0.00     0.00  lzma_strm_init
  0.00     20.53     0.00        3     0.00     0.00  sha_done
  0.00     20.53     0.00        3     0.00     0.00  sha_init
  0.00     20.53     0.00        3     0.00     0.34  sha_process
  0.00     20.53     0.00        3     0.00     0.00  sortof_strdup
  0.00     20.53     0.00        3     0.00     0.34  spec_mem_sum
  0.00     20.53     0.00        3     0.00     0.00  unaligned_write32le
  0.00     20.53     0.00        2     0.00     0.00  block_decoder_end
  0.00     20.53     0.00        2     0.00     0.00  compare_sum
  0.00     20.53     0.00        2     0.00     0.00  dict_reset
  0.00     20.53     0.00        2     0.00     0.00  index_stream_size
  0.00     20.53     0.00        2     0.00     0.00  index_tree_append
  0.00     20.53     0.00        2     0.00     0.00  index_tree_end
  0.00     20.53     0.00        2     0.00     0.00  index_tree_init
  0.00     20.53     0.00        2     0.00     0.00  index_tree_next
  0.00     20.53     0.00        2     0.00     0.00  init_decoder
  0.00     20.53     0.00        2     0.00     0.00  lz_decoder_end
  0.00     20.53     0.00        2     0.00     0.00  lzma2_decoder_end
  0.00     20.53     0.00        2     0.00     0.00  lzma2_decoder_init
  0.00     20.53     0.00        2     0.00     0.00  lzma_block_decoder_init
  0.00     20.53     0.00        2     0.00     0.00  lzma_block_header_decode
  0.00     20.53     0.00        2     0.00     0.00  lzma_filter_flags_decode
  0.00     20.53     0.00        2     0.00     0.00  lzma_index_end
  0.00     20.53     0.00        2     0.00     0.00  lzma_index_hash_append
  0.00     20.53     0.00        2     0.00     0.00  lzma_index_hash_decode
  0.00     20.53     0.00        2     0.00     0.00  lzma_index_hash_end
  0.00     20.53     0.00        2     0.00     0.00  lzma_index_hash_init
  0.00     20.53     0.00        2     0.00     0.00  lzma_index_hash_size
  0.00     20.53     0.00        2     0.00     0.00  lzma_index_iter_next
  0.00     20.53     0.00        2     0.00     0.00  lzma_lz_decoder_init
  0.00     20.53     0.00        2     0.00     0.00  lzma_lz_decoder_memusage
  0.00     20.53     0.00        2     0.00     0.00  lzma_lzma2_decoder_init
  0.00     20.53     0.00        2     0.00     0.00  lzma_lzma2_decoder_memusage
  0.00     20.53     0.00        2     0.00     0.00  lzma_lzma2_props_decode
  0.00     20.53     0.00        2     0.00     0.00  lzma_lzma_decoder_create
  0.00     20.53     0.00        2     0.00     0.00  lzma_lzma_decoder_memusage_nocheck
  0.00     20.53     0.00        2     0.00     0.00  lzma_lzma_lclppb_decode
  0.00     20.53     0.00        2     0.00     0.00  lzma_properties_decode
  0.00     20.53     0.00        2     0.00     0.00  lzma_properties_size
  0.00     20.53     0.00        2     0.00     0.00  lzma_raw_coder_memusage
  0.00     20.53     0.00        2     0.00     0.00  lzma_raw_decoder_init
  0.00     20.53     0.00        2     0.00     0.00  lzma_raw_decoder_memusage
  0.00     20.53     0.00        2     0.00     0.00  lzma_stream_decoder
  0.00     20.53     0.00        2     0.00     0.00  lzma_stream_decoder_init
  0.00     20.53     0.00        2     0.00     0.00  lzma_stream_flags_compare
  0.00     20.53     0.00        2     0.00     0.00  lzma_stream_footer_decode
  0.00     20.53     0.00        2     0.00     0.00  lzma_stream_header_decode
  0.00     20.53     0.00        2     0.00     0.00  spec_mem_lseek
  0.00     20.53     0.00        2     0.00     0.00  spec_mem_reset
  0.00     20.53     0.00        2     0.00     0.00  spec_mem_rewind
  0.00     20.53     0.00        2     0.00     5.77  spec_uncompress
  0.00     20.53     0.00        2     0.00     0.00  stream_decoder_end
  0.00     20.53     0.00        2     0.00     0.00  stream_decoder_reset
  0.00     20.53     0.00        2     0.00     0.00  stream_flags_encode
  0.00     20.53     0.00        2     0.00     0.00  unaligned_read32le
  0.00     20.53     0.00        2     0.00     5.77  uncompressStream
  0.00     20.53     0.00        1     0.00     0.00  block_encoder_end
  0.00     20.53     0.00        1     0.00     0.00  block_encoder_init
  0.00     20.53     0.00        1     0.00     7.79  compressStream
  0.00     20.53     0.00        1     0.00     0.01  encode_init
  0.00     20.53     0.00        1     0.00     0.00  get_pos_slot
  0.00     20.53     0.00        1     0.00     0.00  index_encode
  0.00     20.53     0.00        1     0.00     0.00  index_encoder_end
  0.00     20.53     0.00        1     0.00     0.00  index_encoder_reset
  0.00     20.53     0.00        1     0.00     0.00  index_file_size
  0.00     20.53     0.00        1     0.00     0.00  index_init_plain
  0.00     20.53     0.00        1     0.00     0.00  index_stream_end
  0.00     20.53     0.00        1     0.00     0.00  index_stream_init
  0.00     20.53     0.00        1     0.00     0.00  index_tree_node_end
  0.00     20.53     0.00        1     0.00     0.00  init_encoder
  0.00     20.53     0.00        1     0.00     0.00  is_backward_size_valid
  0.00     20.53     0.00        1     0.00     0.00  iter_set_info
  0.00     20.53     0.00        1     0.00     0.00  lz_encoder_end
  0.00     20.53     0.00        1     0.00     0.00  lz_encoder_init
  0.00     20.53     0.00        1     0.00     0.00  lz_encoder_prepare
  0.00     20.53     0.00        1     0.00     0.00  lzma2_encoder_end
  0.00     20.53     0.00        1     0.00     0.00  lzma2_encoder_init
  0.00     20.53     0.00        1     0.00     0.00  lzma_block_encoder_init
